host_since,latitude,longitude,,,
21-4-2016,52.40664603,4.928136326,,,
15-6-2016,52.37872858,4.989368667,,,
23-1-2016,52.38940341,4.955929828,,,
5-3-2012,52.39441177,4.950323331,,,
14-4-2015,52.39049166,4.954518981,,,
17-8-2014,52.39349784,4.948679017,,,
28-6-2016,52.38893859,4.958906985,,,
2-7-2013,52.39352414,4.954702182,,,
3-5-2016,52.3961998,4.93293638,,,
25-3-2013,52.39652287,4.995234116,,,
5-7-2016,52.3978032,4.936166682,,,
31-7-2013,52.38897943,4.95763996,,,
7-5-2016,52.39908787,4.94697055,,,
22-5-2016,52.38311273,4.965958749,,,
17-3-2013,52.39882236,4.925625447,,,
26-9-2013,52.41487865,5.026700926,,,
6-4-2013,52.40750817,4.933180652,,,
24-2-2016,52.39898271,4.930656309,,,
19-6-2016,52.38038136,4.966301334,,,
10-11-2015,52.3751451,4.984980917,,,
23-8-2014,52.38258439,4.966461875,,,
3-5-2017,52.40768366,4.928402506,,,
22-7-2016,52.40713496,4.931573649,,,
11-12-2012,52.38928867,4.95874945,,,
28-3-2016,52.3968055,4.954288934,,,
6-4-2013,52.40589302,4.932430878,,,
25-10-2015,52.3936488,4.932942792,,,
17-7-2017,52.39915235,4.953886291,,,
29-10-2015,52.40916865,4.959442915,,,
2-6-2016,52.38522965,4.955804154,,,
9-11-2011,52.38333593,5.00370789,,,
16-6-2012,52.39182307,4.951707979,,,
22-6-2015,52.39703678,4.933106953,,,
5-2-2014,52.40187511,4.937598939,,,
13-11-2014,52.40567848,4.965096431,,,
20-9-2016,52.40619348,4.933524323,,,
28-3-2013,52.39788683,4.943948167,,,
16-7-2012,52.4075976,4.930921035,,,
29-10-2015,52.41077189,4.961169805,,,
18-3-2015,52.40438119,4.941818136,,,
6-1-2011,52.37934389,4.992835191,,,
24-10-2012,52.3779578,4.991013738,,,
15-10-2015,52.39678883,4.958670598,,,
18-8-2015,52.40028765,4.931311412,,,
28-4-2016,52.40648237,4.966168879,,,
14-1-2013,52.38475125,5.01355728,,,
9-6-2014,52.39389004,4.996275071,,,
 Abram En Aram,3/10/2014,52.4143045,94,,
3-5-2013,52.39313028,4.957641109,,,
21-3-2015,52.38908075,4.958187074,,,
24-11-2016,52.40843415,4.93395884,,,
1-9-2016,52.41012535,4.92465243,,,
8-1-2011,52.41433433,4.920143425,,,
24-1-2016,52.40855033,4.921150511,,,
16-6-2013,52.40674747,4.92341411,,,
1-1-2017,52.40841259,4.924517184,,,
4-3-2016,52.40110264,4.919737751,,,
24-4-2016,52.40488545,4.908633226,,,
13-5-2015,52.40522102,4.899754974,,,
18-3-2015,52.41495148,4.889274329,,,
17-6-2017,52.41920607,4.87236863,,,
10-9-2011,52.40911298,4.901080544,,,
19-5-2014,52.4108091,4.893753774,,,
26-9-2012,52.42181738,4.887597928,,,
27-3-2016,52.42196721,4.886573239,,,
28-11-2013,52.40845546,4.902206778,,,
17-6-2017,52.41752693,4.87220868,,,
7-4-2015,52.42101537,4.893610391,,,
6-5-2013,52.41449447,4.907188024,,,
25-2-2013,52.41045438,4.901443918,,,
12-10-2012,52.40959206,4.902468155,,,
29-7-2016,52.41344032,4.892613202,,,
13-4-2017,52.41408152,4.907982843,,,
27-6-2016,52.42097097,4.905993007,,,
9-7-2016,52.40235256,4.910548834,,,
30-6-2015,52.4135946,4.909184695,,,
26-5-2015,52.41505842,4.893954874,,,
26-11-2013,52.41501023,4.907021883,,,
18-6-2013,52.40550397,4.901622415,,,
19-2-2013,52.40615647,4.896728601,,,
20-1-2013,52.40557812,4.903993066,,,
24-7-2014,52.41644882,4.899884972,,,
21-4-2014,52.40708473,4.910306118,,,
20-7-2013,52.4148021,4.891451441,,,
22-7-2015,52.41449531,4.884054622,,,
10-1-2017,52.40442378,4.90915784,,,
18-1-2015,52.41849888,4.901440021,,,
20-1-2013,52.40373859,4.901254866,,,
6-7-2011,52.40330587,4.90539616,,,
1-5-2015,52.40902551,4.901030296,,,
8-12-2014,52.40420675,4.908045775,,,
12-7-2015,52.40916284,4.903189407,,,
14-3-2014,52.40830635,4.89296077,,,
14-3-2014,52.4066511,4.893159845,,,
8-5-2017,52.40694579,4.903213962,,,
21-10-2016,52.41925111,4.888023751,,,
12-2-2012,52.40515583,4.917513149,,,
22-6-2017,52.4193364,4.904896497,,,
12-10-2011,52.4101024,4.90149813,,,
27-6-2014,52.41703034,4.882220657,,,
15-7-2013,52.41000713,4.90242348,,,
12-5-2014,52.40267311,4.908896114,,,
22-9-2014,52.41320601,4.893276447,,,
25-11-2017,52.41073626,4.900479342,,,
18-8-2013,52.40711687,4.904136249,,,
18-3-2014,52.40695558,4.900570238,,,
9-6-2015,52.40797633,4.924839884,,,
9-10-2015,52.40980154,4.924184064,,,
22-5-2017,52.42247503,4.885366764,,,
14-1-2016,52.40663464,4.904639669,,,
17-11-2009,52.42119952,4.89232632,,,
12-2-2014,52.41819945,4.895403695,,,
16-6-2013,52.41406435,4.894458923,,,
13-9-2013,52.40779076,4.90110091,,,
30-3-2013,52.41468291,4.881594418,,,
8-12-2014,52.40388032,4.908275135,,,
11-5-2013,52.40687755,4.905288036,,,
13-7-2014,52.4083004,4.891539891,,,
28-9-2014,52.40584149,4.915670664,,,
18-4-2011,52.40918336,4.900973652,,,
18-1-2015,52.4044271,4.903896708,,,
8-11-2015,52.40919145,4.903571845,,,
17-9-2015,52.41314759,4.919739431,,,
13-11-2012,52.41061136,4.90127793,,,
23-12-2013,52.40988567,4.900640806,,,
10-5-2012,52.41038784,4.903457694,,,
30-4-2017,52.40427511,4.90070894,,,
12-7-2015,52.40704104,4.915531065,,,
31-1-2013,52.40509479,4.903170414,,,
4-2-2014,52.41051922,4.908005713,,,
30-1-2017,52.40484485,4.900764232,,,
22-10-2013,52.40346487,4.907951072,,,
18-8-2013,52.40831266,4.90483041,,,
21-5-2016,52.40247834,4.907594001,,,
14-12-2015,52.40344388,4.917353648,,,
27-7-2015,52.40714047,4.911245187,,,
29-3-2015,52.40112586,4.912017924,,,
11-7-2013,52.41012353,4.889259609,,,
4-4-2015,52.40706309,4.90678769,,,
2-10-2016,52.40584347,4.910313931,,,
18-10-2016,52.41837418,4.892148598,,,
24-11-2016,52.40512172,4.919025703,,,
13-10-2013,52.40980806,4.9015534,,,
7-1-2013,52.42364739,4.887019218,,,
28-1-2013,52.42091202,4.894537997,,,
23-4-2014,52.41409866,4.906474718,,,
7-10-2014,52.40716003,4.914846037,,,
19-4-2016,52.41446126,4.892038174,,,
